key, val, gas, latency
key-71000, 8, 0.000071, 18.92899990081787
key-71000, 9, 0.000071, 29.758999824523926
key-71000, 9, 0.000071, 14.811000108718872
key-71000, 6, 0.000071, 13.743000030517578
key-71000, 5, 0.000071, 30.757000207901
key-72000, 3, 0.000072, 44.819000005722046
key-72000, 4, 0.000072, 15.789999961853027
key-72000, 8, 0.000072, 28.988999843597412
key-72000, 2, 0.000072, 15.795000076293945
key-72000, 8, 0.000072, 44.83500003814697
key-73000, 2, 0.000073, 16.223999977111816
key-73000, 9, 0.000073, 43.65599989891052
key-73000, 9, 0.000073, 14.956000089645386
key-73000, 8, 0.000073, 14.927000045776367
key-73000, 3, 0.000073, 14.697999954223633
key-74000, 1, 0.000074, 29.799000024795532
key-74000, 9, 0.000074, 30.816999912261963
key-74000, 7, 0.000074, 18.926000118255615
key-74000, 0, 0.000074, 11.770999908447266
key-74000, 9, 0.000074, 14.773000001907349
key-75000, 6, 0.000075, 29.741999864578247
key-75000, 2, 0.000075, 14.181999921798706
key-75000, 3, 0.000075, 15.135999917984009
key-75000, 3, 0.000075, 31.993000030517578
key-75000, 0, 0.000075, 28.028000116348267
key-76000, 1, 0.000076, 14.359999895095825
key-76000, 4, 0.000076, 16.052000045776367
key-76000, 4, 0.000076, 15.026000022888184
key-76000, 1, 0.000076, 29.92199993133545
key-76000, 8, 0.000076, 15.54200005531311
key-77000, 1, 0.000077, 14.216000080108643
key-77000, 4, 0.000077, 29.858999967575073
key-77000, 9, 0.000077, 14.920000076293945
key-77000, 7, 0.000077, 15.749000072479248
key-77000, 2, 0.000077, 43.8219997882843
key-78000, 0, 0.000078, 16.228000164031982
key-78000, 0, 0.000078, 15.066999912261963
key-78000, 2, 0.000078, 30.151000022888184
key-78000, 6, 0.000078, 14.070000171661377
key-78000, 7, 0.000078, 31.014999866485596
key-79000, 4, 0.000079, 13.789999961853027
key-79000, 8, 0.000079, 15.059999942779541
key-79000, 1, 0.000079, 31.01799988746643
key-79000, 3, 0.000079, 28.7189998626709
key-79000, 6, 0.000079, 14.844000101089478
key-80000, 8, 0.00008, 16.749000072479248
key-80000, 8, 0.00008, 13.82099986076355
key-80000, 8, 0.00008, 29.91700005531311
key-80000, 1, 0.00008, 15.757999897003174
key-80000, 1, 0.00008, 14.492000102996826
key-81000, 2, 0.000081, 29.744999885559082
key-81000, 2, 0.000081, 18.740999937057495
key-81000, 9, 0.000081, 12.913000106811523
key-81000, 2, 0.000081, 15.763999938964844
key-81000, 4, 0.000081, 13.715999841690063
key-82000, 8, 0.000082, 15.723000049591064
key-82000, 7, 0.000082, 29.723000049591064
key-82000, 9, 0.000082, 29.754000186920166
key-82000, 0, 0.000082, 14.895999908447266
key-82000, 5, 0.000082, 14.719000101089478
key-83000, 3, 0.000083, 15.770999908447266
key-83000, 2, 0.000083, 13.763999938964844
key-83000, 6, 0.000083, 45.79300022125244
key-83000, 1, 0.000083, 29.733999967575073
key-83000, 1, 0.000083, 14.726999998092651
key-84000, 5, 0.000084, 14.934999942779541
key-84000, 5, 0.000084, 30.743000030517578
key-84000, 5, 0.000084, 14.739000082015991
key-84000, 2, 0.000084, 14.730000019073486
key-84000, 9, 0.000084, 45.7720000743866
key-85000, 6, 0.000085, 14.73799991607666
key-85000, 3, 0.000085, 14.734999895095825
key-85000, 5, 0.000085, 15.753999948501587
key-85000, 1, 0.000085, 13.786999940872192
key-85000, 1, 0.000085, 15.74399995803833
key-86000, 3, 0.000086, 14.745000123977661
key-86000, 1, 0.000086, 14.750999927520752
key-86000, 6, 0.000086, 29.84000015258789
key-86000, 8, 0.000086, 14.827000141143799
key-86000, 1, 0.000086, 15.791999816894531
key-87000, 6, 0.000087, 29.743000030517578
key-87000, 3, 0.000087, 29.80299997329712
key-87000, 0, 0.000087, 15.716000080108643
key-87000, 0, 0.000087, 29.729000091552734
key-87000, 8, 0.000087, 30.763999938964844
key-88000, 2, 0.000088, 28.73799991607666
key-88000, 7, 0.000088, 15.812999963760376
key-88000, 3, 0.000088, 29.743000030517578
key-88000, 8, 0.000088, 30.799999952316284
key-88000, 4, 0.000088, 14.144999980926514
key-89000, 7, 0.000089, 14.844000101089478
key-89000, 9, 0.000089, 15.752000093460083
key-89000, 5, 0.000089, 44.06099987030029
key-89000, 5, 0.000089, 14.755000114440918
key-89000, 1, 0.000089, 15.871000051498413
key-90000, 8, 0.00009, 31.610999822616577
key-90000, 2, 0.00009, 12.838000059127808
key-90000, 0, 0.00009, 15.73799991607666
key-90000, 2, 0.00009, 45.769999980926514
key-90000, 2, 0.00009, 13.733000040054321
key-91000, 8, 0.000091, 14.86299991607666
key-91000, 0, 0.000091, 15.71399998664856
key-91000, 6, 0.000091, 14.903000116348267
key-91000, 1, 0.000091, 29.7739999294281
